"locus_id","locus","locus_CHR","locus_BP","ENSGID","GENE","CHR","TSS","PoPS_score"
"rs17817857","chr17:55299581",17,55299581,"ENSG00000108924","HLF",17,55283720,0.0928414990239842
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66192133,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66191869,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66191907,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66192110,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66183286,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66192076,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66183299,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,66192102,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,65826181,0.304990707198423
"rs7210446","chr17:66310896",17,66310896,"ENSG00000154240","CEP112",17,65826543,0.304990707198423
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36297714,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36297717,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36297713,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36297836,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36544551,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36594786,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36692976,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36718557,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36730704,0.186708181830316
"rs2644260","chr18:36639271",18,36639271,"ENSG00000134775","FHOD3",18,36297676,0.186708181830316
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044226,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044367,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044384,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044387,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044452,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044548,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58044661,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58045525,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58045657,0.178488897176595
"rs12604734","chr18:58270525",18,58270525,"ENSG00000049759","NEDD4L",18,58045666,0.178488897176595
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45824161,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45863147,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45863225,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45863144,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45855807,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45817133,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45818013,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45824012,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45863130,0.0977044170391828
"rs12462616","chr19:45807254",19,45807254,"ENSG00000125755","SYMPK",19,45855710,0.0977044170391828
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16352480,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16253427,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16253593,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16315367,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16352487,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16352483,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16352478,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16352426,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16352442,0.13665654201072
"rs1048334","chr1:16014266",1,16014266,"ENSG00000037637","FBXO42",1,16316755,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16352480,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16253427,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16253593,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16315367,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16352487,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16352483,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16352478,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16352426,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16352442,0.13665654201072
"rs1762951","chr1:16629973",1,16629973,"ENSG00000037637","FBXO42",1,16316755,0.13665654201072
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214281102,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214281125,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214281159,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214281222,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214327494,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214330977,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214281118,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214280935,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214280978,0.051324308912418
"rs74139614","chr1:214111878",1,214111878,"ENSG00000143499","SMYD2",1,214281077,0.051324308912418
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236664141,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686499,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686509,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686606,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686639,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686659,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686674,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686675,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686682,0.193676107269284
"rs12724121","chr1:236688982",1,236688982,"ENSG00000077522","ACTN2",1,236686689,0.193676107269284
"rs10864434","chr1:6202171",1,6202171,"ENSG00000116254","CHD5",1,6180321,0.215566603823361
"rs10864434","chr1:6202171",1,6202171,"ENSG00000116254","CHD5",1,6106772,0.215566603823361
"rs10864434","chr1:6202171",1,6202171,"ENSG00000116254","CHD5",1,6144104,0.215566603823361
"rs10864434","chr1:6202171",1,6202171,"ENSG00000116254","CHD5",1,6131739,0.215566603823361
"rs10864434","chr1:6202171",1,6202171,"ENSG00000116254","CHD5",1,6180023,0.215566603823361
"rs10864434","chr1:6202171",1,6202171,"ENSG00000116254","CHD5",1,6128542,0.215566603823361
"rs10864434","chr1:6202171",1,6202171,"ENSG00000097021","ACOT7",1,6393361,0.18778943312034
"rs10864434","chr1:6202171",1,6202171,"ENSG00000097021","ACOT7",1,6393767,0.18778943312034
"rs10864434","chr1:6202171",1,6202171,"ENSG00000097021","ACOT7",1,6359344,0.18778943312034
"rs10864434","chr1:6202171",1,6202171,"ENSG00000097021","ACOT7",1,6360707,0.18778943312034
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092807,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092868,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092793,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092811,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092806,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092799,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092795,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092791,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092789,0.127315022976047
"rs2378294","chr20:34912575",20,34912575,"ENSG00000100991","TRPC4AP",20,35092862,0.127315022976047
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24011192,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24011304,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24011315,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24011348,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24011416,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24011418,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24055068,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24067005,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24087588,0.145463888441286
"rs5030613","chr22:23834100",22,23834100,"ENSG00000099991","CABIN1",22,24098113,0.145463888441286
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115616","SLC9A2",2,102619553,0.00437793222421207
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115616","SLC9A2",2,102684298,0.00437793222421207
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115616","SLC9A2",2,102689694,0.00437793222421207
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115616","SLC9A2",2,102619556,0.00437793222421207
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115616","SLC9A2",2,102619573,0.00437793222421207
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115607","IL18RAP",2,102418689,-0.0592643368777199
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115607","IL18RAP",2,102419445,-0.0592643368777199
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115607","IL18RAP",2,102419686,-0.0592643368777199
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115607","IL18RAP",2,102423156,-0.0592643368777199
"rs2732839","chr2:102762101",2,102762101,"ENSG00000115607","IL18RAP",2,102423160,-0.0592643368777199
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178194481,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178194489,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178194500,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178194523,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178194512,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178284927,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178320244,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178323570,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178193711,0.189286128999892
"rs2255167","chr2:178693555",2,178693555,"ENSG00000079156","OSBPL6",2,178193786,0.189286128999892
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643739,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643654,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643717,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643960,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643950,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69674349,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643845,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000115977","AAK1",2,69643967,0.16974416896824
"rs62151166","chr2:70085174",2,70085174,"ENSG00000116001","TIA1",2,70248628,0.13648160989712
"rs62151166","chr2:70085174",2,70085174,"ENSG00000116001","TIA1",2,70248660,0.13648160989712
"rs2579547","chr2:96093689",2,96093689,"ENSG00000135956","TMEM127",2,96265994,0.0442263550145508
